County,Confirmed Cases,Imported Cases,Local Cases,Shape__Area,Shape__Length,GlobalID,"Â 
OBJECTID"

Baringo,0,0,0,0.88473225985628,5.93231540672106,3ccef20b-3eb5-42ed-a35f-f2358b9ac19b,1
Bomet,1,0,1,0.198098946396809,2.92222029126456,95e75e61-b3fb-4d7d-85b3-17000d858767,2
Bungoma,5,2,3,0.245058096311848,3.06248561123649,19e22c96-808e-4816-8e0b-e1ce041c30d2,3
Busia,241,57,184,0.147177862993013,2.67039572639894,4ee9c34f-6e99-4996-a028-389182972cfd,4
Elgeyo-Marakwet,0,0,0,0.24443179055109,3.88893290913505,5cd013f1-e428-43a1-94b2-7a8d96e902f0,5
Embu,1,0,1,0.229413548970309,3.38665284959574,874487bc-0901-4a76-b314-ada7b486b004,6
Garissa,16,5,11,3.54218783016391,10.4909217274669,2711e154-fdab-44a0-8ba7-76ff95edbf15,7
Homa Bay,2,1,1,0.384444299472013,3.37378072707258,596c92d9-83b0-432f-9c5a-7f89df0b754c,8
Isiolo,4,1,3,2.06385026496549,10.2197538246023,f0c6927e-cbac-477f-9791-2d1049868434,9
Kajiado,98,39,59,1.77918299671007,7.41283468468488,e18cadc4-1b4f-4764-a171-3d93982e3b20,10
Kakamega,0,0,0,0.244381410145262,4.12530391348129,5dedd09e-8db3-43da-b091-eb1d18e54c06,11
Kericho,1,1,0,0.20417872736507,3.54133425506384,7ee63b9f-1408-480a-80d7-8268c6f8d7d9,12
Kiambu,88,7,81,0.20662852515432,3.19317493403849,b2f935be-0e88-41e9-91bb-72ba18c3924f,13
Kilifi,52,5,47,1.02512724125081,5.74454270099867,3c4484be-739c-413b-b8a9-6569f987dbb9,14
Kirinyaga,1,1,0,0.119858400638223,1.94736198613367,10abadb7-ccf6-47d3-bf62-f73c7458c1a3,15
Kisii,2,0,2,0.10673860464993,1.6923519824049,2bc22244-7836-4868-a92a-70c027a68a45,16
Kisumu,10,1,9,0.216511078727698,3.07628555151088,7197d711-50a6-4748-9a43-d1f6f9173132,17
Kitui,10,1,9,2.47533754714961,9.07416929865154,ccbb02d0-0d74-4817-9e71-4332c3e432b9,18
Kwale,36,16,20,0.673255438558101,5.42609734196381,29bd47ef-310f-4135-976f-b9bfb22d47c3,19
Laikipia,2,0,2,0.774806914906937,5.38167389746001,3aceeb46-202d-4e29-8036-91805f0bd136,20
Lamu,0,0,0,0.491573344551824,7.9808835043437,9140d8b3-4ef2-43a2-a2bf-3ac475339d9a,21
Machakos,17,0,17,0.491163705385739,6.08198406715965,b9582891-9c4c-45c3-9c83-99b124743434,22
Makueni,3,0,3,0.664602756107104,5.98377354517774,d4800877-b556-48b3-8a31-f60505ab6bba,23
Mandera,19,5,14,2.11434545972786,7.28212131707164,7664bf70-43af-422b-bbb2-dcde35c9c35c,24
Marsabit,1,0,1,6.18518986669415,11.9953621394787,a17093a9-0e5c-4718-9b29-b936205305b4,25
Meru,1,0,1,0.568086227229132,4.40059883471272,44b5b5cc-b594-4cff-b361-c60c580dcc15,26
Migori,30,16,14,0.255483390667081,2.98496042686324,6fc3ec37-1a35-4671-88a8-8cd18f60b893,27
Mombasa,932,30,902,0.019024038718598,1.82090355588451,63ae75a6-05bb-4147-b6ee-e607cb12c2c9,28
Murang'a,3,0,3,0.205193766036071,2.63239652253379,9a027ad0-c595-415e-9136-a61f00264091,29
Nairobi,"1,374",104,"1,270",0.0574955973516467,1.65806106005178,918d5a36-0149-46a3-88aa-dc2c4007493c,30
Nandi,1,0,1,0.230384085324118,3.1504158757792,7f673c8d-c36f-4b23-bac3-dcc23b9fdba6,31
Narok,0,0,0,1.45556490927479,6.9860538021237,f439118c-609f-4852-a585-240e5c6b64d3,32
Nyamira,0,0,0,0.0728900464500128,1.47320572638642,cb2d7854-0684-4cc4-a150-ebb7f94af788,33
Nyandarua,1,0,1,0.265397951609607,3.5718379536111,7ac673af-4790-4dd5-9896-9ae8b0fc81d2,34
Nyeri,5,0,5,0.270909172217948,3.09659104814715,7a95fd16-087b-40c7-9756-54040f7ed11c,35
Samburu,0,0,0,1.70781409890951,8.00461102442255,684e8f55-ca24-4611-94cc-d6b08c2b2709,36
Siaya,11,0,11,0.286004798796481,2.90378112733459,7199b27c-f625-41ec-9d7d-1145ab6dc23b,37
Taita Taveta,21,7,14,1.39419800774478,5.67784524260511,6b87101b-550c-41d5-9d04-410a3eff68dc,38
Tana River,0,0,0,3.18540534408402,10.3717493660952,991edf0a-9d42-490a-8550-343ea396e436,39
Tharaka-Nithi,0,0,0,0.209683214276466,3.17194106342489,cda40de9-5df1-4ba1-8f66-c8e013725575,40
Trans Nzoia,1,1,0,0.201893077633207,2.42139844742768,8c0db570-d18b-4fd3-a81d-921be373fc0a,41
Turkana,8,6,2,5.70842571656209,14.3873082496064,05ef472c-a875-4ef9-85e7-9e435378b11d,42
Uasin Gishu,50,25,25,0.275976069027426,3.92605064088985,f14285d7-76d6-46e1-91ba-2456f3a98403,43
Vihiga,0,0,0,0.0455330242670935,1.39636100435719,2cb40d9c-a849-45b2-bebe-f18252ea4754,44
Wajir,15,14,1,4.60648949853613,10.0049323883633,dddee819-03ac-4135-8bd6-326f673f5707,45
West Pokot,0,0,0,0.756343702551323,4.73399595019672,b368c583-92f4-4d7c-8ee9-9bab585c0bc9,46
Nakuru,12,2,10,0.608283444912482,6.4318219907062,4c7275ec-0086-4468-aa6d-12a2d6f3781d,47
Uasin-Gishu,2,1,1,,,256c6f41-ef53-4194-97f9-52cd39c48abd,48
Homa-Bay,1,0,1,,,ee55057c-12cb-45ff-8420-74f39ea03dc7,49
Muranga,1,0,1,,,bffc2b59-ea7d-406d-88cb-da0d1739730c,50
